name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:max_samples,config:RandomForestClassifier:n_estimators,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
config_id=1_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.7360569559037685,15,1846063104,1846063104,0,131670016,133799936,2129920,bytes,4.76837158203125e-07,0.013274192810058594,0.01327371597290039,wall,seconds,4.76837158203125e-07,0.013274192810058594
config_id=3_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.45004307776689534,45,1846063104,1846063104,0,133963776,133963776,0,bytes,0.019522666931152344,0.047225236892700195,0.02770256996154785,wall,seconds,0.019522666931152344,0.047225236892700195
config_id=2_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.17029327154159546,97,1846063104,1846063104,0,131837952,133967872,2129920,bytes,0.0,0.06271028518676758,0.06271028518676758,wall,seconds,0.0,0.06271028518676758
config_id=4_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,1.0,0.6436051614582539,64,1846063104,1846063104,0,133963776,134127616,163840,bytes,0.053687334060668945,0.09279203414916992,0.03910470008850098,wall,seconds,0.053687334060668945,0.09279203414916992
config_id=5_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.5832450196146965,39,1846063104,1846063104,0,134131712,134131712,0,bytes,0.06947636604309082,0.09335899353027344,0.023882627487182617,wall,seconds,0.06947636604309082,0.09335899353027344
config_id=7_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.20362705513834956,32,1846063104,1846063104,0,134131712,134131712,0,bytes,0.10082793235778809,0.11916804313659668,0.018340110778808594,wall,seconds,0.10082793235778809,0.11916804313659668
config_id=6_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.3229100920259953,69,1846063104,1846063104,0,134127616,134127616,0,bytes,0.09915828704833984,0.14508628845214844,0.045928001403808594,wall,seconds,0.09915828704833984,0.14508628845214844
config_id=8_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.8902163118124008,80,1846063104,1846063104,0,134131712,134131712,0,bytes,0.1268625259399414,0.17559146881103516,0.04872894287109375,wall,seconds,0.1268625259399414,0.17559146881103516
config_id=9_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9210526315789473,0.8353803433477879,55,1846063104,1846063104,0,134127616,134127616,0,bytes,0.15082144737243652,0.1838231086730957,0.03300166130065918,wall,seconds,0.15082144737243652,0.1838231086730957
config_id=11_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.3526377588510513,16,1846063104,1846063104,0,134127616,134127616,0,bytes,0.18997454643249512,0.20085716247558594,0.01088261604309082,wall,seconds,0.18997454643249512,0.20085716247558594
config_id=10_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.27077629417181015,57,1846063104,1846063104,0,134131712,134131712,0,bytes,0.18180346488952637,0.22005796432495117,0.038254499435424805,wall,seconds,0.18180346488952637,0.22005796432495117
config_id=13_seed=1608637542_budget=None_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.6827268660068512,22,1846063104,1846063104,0,134131712,134131712,0,bytes,0.22753667831420898,0.24378609657287598,0.016249418258666992,wall,seconds,0.22753667831420898,0.24378609657287598
