config_id,budget,status,seed,"metric:accuracy [0.0; 1.0] (maximize)",criterion,max_features,n_estimators,SimpleImputer_strategy,start_time,end_time
1,-1,success,1608637542,0.755,log_loss,0.0585701344535,99,mean,1723040294.9793115,1723040295.1013162
2,-1,success,1608637542,0.755,gini,0.8777328003198,39,median,1723040295.1181328,1723040295.2162113
3,-1,success,1608637542,0.745,entropy,0.4993396149948,67,mean,1723040295.226749,1723040295.3355308
4,-1,success,1608637542,0.7,entropy,0.5687534548342,15,median,1723040295.3461783,1723040295.389958
5,-1,success,1608637542,0.76,log_loss,0.3504443792626,49,median,1723040295.399048,1723040295.483058
6,-1,success,1608637542,0.74,entropy,0.7186862248927,78,mean,1723040295.4930272,1723040295.6500401
7,-1,success,1608637542,0.74,gini,0.158637185581,27,median,1723040295.6603966,1723040295.71093
8,-1,success,1608637542,0.74,log_loss,0.7766280956566,66,mean,1723040295.7218883,1723040295.8525965
9,-1,success,1608637542,0.75,log_loss,0.407561570406,23,mean,1723040295.8621378,1723040295.9124177
10,-1,success,1608637542,0.725,gini,0.5238132188097,59,median,1723040295.9212189,1723040296.0382364
11,-1,success,1608637542,0.75,gini,0.099597921595,52,mean,1723040296.0496287,1723040296.1231394
12,-1,success,1608637542,0.755,log_loss,0.965611747466,86,median,1723040296.1332786,1723040296.3101737
13,-1,success,1608637542,0.735,entropy,0.2465399652719,74,median,1723040296.3214593,1723040296.4207747
14,-1,success,1608637542,0.75,entropy,0.8176320353523,19,mean,1723040296.4315999,1723040296.4843678
15,-1,success,1608637542,0.75,gini,0.3055413421243,93,median,1723040296.493471,1723040296.6237814
16,-1,success,1608637542,0.735,log_loss,0.6268709963188,34,mean,1723040296.6352994,1723040296.708689
17,-1,success,1608637542,0.735,log_loss,0.2536179814488,57,median,1723040296.7174156,1723040296.8028355
18,-1,success,1608637542,0.73,gini,0.6821356220171,25,mean,1723040296.8125937,1723040296.8731244
19,-1,success,1608637542,0.73,entropy,0.1944552026689,86,median,1723040296.8823345,1723040297.0045898
20,-1,success,1608637542,0.735,entropy,0.8732106657699,52,mean,1723040297.0159678,1723040297.1366096
21,-1,success,1608637542,0.7,log_loss,0.0923739317805,18,mean,1723040297.146046,1723040297.1869261
22,-1,success,1608637542,0.73,gini,0.9762074006721,75,median,1723040297.1962452,1723040297.354117
23,-1,success,1608637542,0.745,gini,0.4006210677326,36,mean,1723040297.3646827,1723040297.4305751
24,-1,success,1608637542,0.75,log_loss,0.5342169525102,90,median,1723040297.4406874,1723040297.5989058
25,-1,success,1608637542,0.745,log_loss,0.1495149666443,43,median,1723040297.6110945,1723040297.6819735
26,-1,success,1608637542,0.75,log_loss,0.3374897374914,49,median,1723040297.9437835,1723040298.0403802
27,-1,success,1608637542,0.75,log_loss,0.3547238568081,49,median,1723040298.050935,1723040298.1397114
28,-1,success,1608637542,0.75,log_loss,0.3228372956377,49,median,1723040298.149881,1723040298.232577
29,-1,success,1608637542,0.725,log_loss,0.3400546531208,49,median,1723040298.2446358,1723040298.3282464
30,-1,success,1608637542,0.735,entropy,0.0557202319787,16,mean,1723040298.3390079,1723040298.3769841
31,-1,success,1608637542,0.74,log_loss,0.6835492921778,38,mean,1723040298.3875637,1723040298.470248
32,-1,success,1608637542,0.705,entropy,0.5353438492402,11,mean,1723040298.4813106,1723040298.5241637
33,-1,success,1608637542,0.755,log_loss,0.3741482918864,49,median,1723040298.534195,1723040298.6197286
34,-1,success,1608637542,0.745,log_loss,0.3484636879656,96,median,1723040298.8380964,1723040298.970517
35,-1,success,1608637542,0.76,log_loss,0.3512533812028,96,mean,1723040298.9836128,1723040299.1247368
36,-1,success,1608637542,0.735,entropy,0.6982103052741,84,mean,1723040299.142516,1723040299.2985253
37,-1,success,1608637542,0.745,log_loss,0.3455579422045,98,mean,1723040299.3133385,1723040299.4480386
38,-1,success,1608637542,0.75,log_loss,0.3444911496436,97,median,1723040299.4606485,1723040299.5958729
39,-1,success,1608637542,0.74,log_loss,0.3425297890905,96,median,1723040299.6084638,1723040299.7413988
40,-1,success,1608637542,0.765,entropy,0.8949304012576,64,mean,1723040299.7538059,1723040299.8822753
41,-1,success,1608637542,0.72,log_loss,0.5678662617987,14,mean,1723040299.8937204,1723040299.9362564
42,-1,success,1608637542,0.775,entropy,0.8859016187855,61,mean,1723040300.1838448,1723040300.3072505
