config_id,budget,status,seed,metric:accuracy [0.0; 1.0] (maximize),max_samples,n_estimators,start_time,end_time
31,33.33333333333333,success,1589671044,0.9473684210526315,0.1501258828965,76,1723039636.4084063,1723039636.4084063
20,100.0,success,1589671044,0.8947368421052632,0.4368028380858,83,1723039636.4121993,1723039636.4121993
27,100.0,success,1589671044,0.9473684210526315,0.6014600861858,32,1723039636.4596782,1723039636.4596782
32,100.0,success,1589671044,0.9736842105263158,0.1133170265465,20,1723039636.4683065,1723039636.4683065
33,100.0,success,1589671044,0.9210526315789473,0.3830804621181,57,1723039636.4903672,1723039636.4903672
34,100.0,success,1589671044,0.9210526315789473,0.2431076743252,68,1723039636.4948792,1723039636.4948792
35,11.11111111111111,success,1589671044,1.0,0.400525509195,83,1723039636.755902,1723039636.755902
36,11.11111111111111,success,1589671044,0.9210526315789473,0.1315551463825,83,1723039636.7601163,1723039636.7601163
37,11.11111111111111,success,1589671044,0.9736842105263158,0.3990771357323,53,1723039636.8106084,1723039636.8106084
38,11.11111111111111,success,1589671044,0.9736842105263158,0.3984445459222,52,1723039636.812908,1723039636.812908
39,11.11111111111111,success,1589671044,0.9473684210526315,0.3996150052994,52,1723039636.8479562,1723039636.8479562
40,11.11111111111111,success,1589671044,1.0,0.4081666113851,53,1723039636.849926,1723039636.849926
41,11.11111111111111,success,1589671044,0.9736842105263158,0.4055027839832,52,1723039636.886016,1723039636.886016
42,11.11111111111111,success,1589671044,0.9473684210526315,0.4196617881842,53,1723039636.88994,1723039636.88994
43,11.11111111111111,success,1589671044,0.9210526315789473,0.4064443460501,53,1723039636.9229813,1723039636.9229813
44,33.33333333333333,success,1589671044,0.9473684210526315,0.4181216844021,52,1723039637.1393986,1723039637.1393986
45,33.33333333333333,success,1589671044,0.9736842105263158,0.393115639133,59,1723039637.1416612,1723039637.1416612
46,33.33333333333333,success,1589671044,0.9736842105263158,0.3933782168061,58,1723039637.1783319,1723039637.1783319
47,33.33333333333333,success,1589671044,0.9210526315789473,0.3063987695767,83,1723039637.1869962,1723039637.1869962
48,33.33333333333333,success,1589671044,0.9473684210526315,0.3936814621818,58,1723039637.2239683,1723039637.2239683
35,33.33333333333333,success,1589671044,0.9473684210526315,0.400525509195,83,1723039637.2474775,1723039637.2474775
40,33.33333333333333,success,1589671044,0.9210526315789473,0.4081666113851,53,1723039637.266655,1723039637.266655
37,33.33333333333333,success,1589671044,0.9473684210526315,0.3990771357323,53,1723039637.3045473,1723039637.3045473
45,100.0,success,1589671044,0.9736842105263158,0.393115639133,59,1723039637.3108563,1723039637.3108563
49,100.0,success,1589671044,0.8947368421052632,0.3923882277431,57,1723039637.3582966,1723039637.3582966
35,100.0,success,1589671044,0.9736842105263158,0.400525509195,83,1723039637.3448632,1723039637.3448632
50,100.0,success,1589671044,0.9736842105263158,0.3926449965748,58,1723039637.3997607,1723039637.3997607
51,100.0,success,1589671044,0.9473684210526315,0.3934498489131,57,1723039637.404616,1723039637.404616
53,11.11111111111111,success,1589671044,1.0,0.3940968686488,54,1723039637.6365783,1723039637.6365783
52,11.11111111111111,success,1589671044,1.0,0.392985718316,58,1723039637.6338966,1723039637.6338966
54,11.11111111111111,success,1589671044,0.9210526315789473,0.3947205104911,54,1723039637.6770852,1723039637.6770852
55,11.11111111111111,success,1589671044,0.9736842105263158,0.3942632744088,54,1723039637.681173,1723039637.681173
56,11.11111111111111,success,1589671044,0.9736842105263158,0.3942589389761,54,1723039637.7194312,1723039637.7194312
57,11.11111111111111,success,1589671044,0.9473684210526315,0.393115639133,55,1723039637.7291114,1723039637.7291114
58,11.11111111111111,success,1589671044,0.9210526315789473,0.393385021115,56,1723039637.763917,1723039637.763917
59,11.11111111111111,success,1589671044,0.9473684210526315,0.3930937799576,55,1723039637.7738795,1723039637.7738795
60,11.11111111111111,success,1589671044,0.9736842105263158,0.3935089983383,54,1723039637.8081615,1723039637.8081615
61,33.33333333333333,success,1589671044,0.9473684210526315,0.2960561373553,39,1723039638.0265641,1723039638.0265641
62,33.33333333333333,success,1589671044,0.9736842105263158,0.392985718316,50,1723039638.0297492,1723039638.0297492
63,33.33333333333333,success,1589671044,0.9473684210526315,0.3930937799576,49,1723039638.0554838,1723039638.0554838
64,33.33333333333333,success,1589671044,1.0,0.393115639133,49,1723039638.064049,1723039638.064049
65,33.33333333333333,success,1589671044,0.9473684210526315,0.392899753182,51,1723039638.0913184,1723039638.0913184
52,33.33333333333333,success,1589671044,0.868421052631579,0.392985718316,58,1723039638.101015,1723039638.101015
53,33.33333333333333,success,1589671044,0.9736842105263158,0.3940968686488,54,1723039638.1417131,1723039638.1417131
55,33.33333333333333,success,1589671044,0.9473684210526315,0.3942632744088,54,1723039638.1453354,1723039638.1453354
53,100.0,success,1589671044,0.9736842105263158,0.3940968686488,54,1723039638.1896195,1723039638.1896195
64,100.0,success,1589671044,1.0,0.393115639133,49,1723039638.1825728,1723039638.1825728
66,100.0,success,1589671044,0.9473684210526315,0.3930924092124,52,1723039638.2306428,1723039638.2306428
67,100.0,success,1589671044,0.9473684210526315,0.393115639133,51,1723039638.2340257,1723039638.2340257
68,100.0,success,1589671044,0.9473684210526315,0.3928513296709,18,1723039638.2706459,1723039638.2706459
