name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:n_estimators,config:RandomForestClassifier:max_samples,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
trial_number=37,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,85,0.5022086157336206,1838178304,1838178304,0,129110016,129110016,0,bytes,0.9159517288208008,0.9613800048828125,0.04542827606201172,wall,seconds,0.9159517288208008,0.9613800048828125
trial_number=40,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,78,0.5901647939046801,1838178304,1838178304,0,129110016,129110016,0,bytes,0.9751684665679932,1.0218589305877686,0.04669046401977539,wall,seconds,0.9751684665679932,1.0218589305877686
trial_number=39,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,74,0.7878520760042015,1838174208,1838174208,0,129110016,129110016,0,bytes,0.970937967300415,1.0252432823181152,0.054305315017700195,wall,seconds,0.970937967300415,1.0252432823181152
trial_number=41,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,74,0.7916706669600334,1838178304,1838178304,0,129110016,129110016,0,bytes,1.0363202095031738,1.0819177627563477,0.04559755325317383,wall,seconds,1.0363202095031738,1.0819177627563477
trial_number=42,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,90,0.6549893933258928,1838174208,1838174208,0,129110016,129110016,0,bytes,1.0409297943115234,1.0908582210540771,0.04992842674255371,wall,seconds,1.0409297943115234,1.0908582210540771
trial_number=43,success,170679558,NA,NA,optuna-doc-example,0.8947368421052632,53,0.6334978565283728,1838178304,1838178304,0,129110016,129110016,0,bytes,1.0910871028900146,1.1209995746612549,0.029912471771240234,wall,seconds,1.0910871028900146,1.1209995746612549
trial_number=44,success,170679558,NA,NA,optuna-doc-example,0.8947368421052632,66,0.5350513920363318,1838174208,1838174208,0,129110016,129110016,0,bytes,1.1001038551330566,1.13584303855896,0.03573918342590332,wall,seconds,1.1001038551330566,1.13584303855896
trial_number=45,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,66,0.5273293464981219,1838178304,1838178304,0,129110016,129110016,0,bytes,1.129774808883667,1.1642448902130127,0.0344700813293457,wall,seconds,1.129774808883667,1.1642448902130127
trial_number=46,success,170679558,NA,NA,optuna-doc-example,1.0,82,0.7049332942644465,1838174208,1838174208,0,129110016,129110016,0,bytes,1.144118070602417,1.1872737407684326,0.043155670166015625,wall,seconds,1.144118070602417,1.1872737407684326
trial_number=47,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,82,0.5787280816927198,1838178304,1838178304,0,129110016,129110016,0,bytes,1.1727008819580078,1.221980333328247,0.04927945137023926,wall,seconds,1.1727008819580078,1.221980333328247
