name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:max_samples,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
config_id=1_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.39963209507789,1842798592,1842950144,151552,128008192,129810432,1802240,bytes,5.7220458984375e-06,0.07021856307983398,0.07021284103393555,wall,seconds,5.7220458984375e-06,0.07021856307983398
config_id=2_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.8605714451279329,1842798592,1842933760,135168,128012288,130306048,2293760,bytes,0.0,0.07294464111328125,0.07294464111328125,wall,seconds,0.0,0.07294464111328125
config_id=4_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.5789267873576293,1842933760,1842933760,0,130306048,130306048,0,bytes,0.08151745796203613,0.137284517288208,0.055767059326171875,wall,seconds,0.08151745796203613,0.137284517288208
config_id=3_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.685595153449124,1842950144,1842950144,0,129810432,129974272,163840,bytes,0.08040881156921387,0.14237236976623535,0.061963558197021484,wall,seconds,0.08040881156921387,0.14237236976623535
config_id=5_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.22481491235394924,1842933760,1842933760,0,130306048,130469888,163840,bytes,0.14714837074279785,0.2033700942993164,0.056221723556518555,wall,seconds,0.14714837074279785,0.2033700942993164
config_id=6_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.22479561626896213,1842950144,1842950144,0,129974272,129974272,0,bytes,0.15032386779785156,0.20650482177734375,0.05618095397949219,wall,seconds,0.15032386779785156,0.20650482177734375
config_id=7_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,1.0,0.14646688973455957,1842933760,1842933760,0,130469888,130469888,0,bytes,0.21216297149658203,0.2678031921386719,0.055640220642089844,wall,seconds,0.21216297149658203,0.2678031921386719
config_id=8_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,1.0,0.7929409166199481,1842950144,1843097600,147456,129974272,129974272,0,bytes,0.21392560005187988,0.27222251892089844,0.058296918869018555,wall,seconds,0.21392560005187988,0.27222251892089844
config_id=9_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.5808920093945671,1842933760,1843077120,143360,130469888,130469888,0,bytes,0.27329492568969727,0.3298008441925049,0.05650591850280762,wall,seconds,0.27329492568969727,0.3298008441925049
config_id=10_seed=1608637542_budget=33.33333333333333_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9473684210526315,0.6664580622368363,1843097600,1843097600,0,129974272,129974272,0,bytes,0.33341217041015625,0.3901638984680176,0.05675172805786133,wall,seconds,0.33341217041015625,0.3901638984680176
config_id=11_seed=1608637542_budget=33.33333333333333_instance=None,success,1608637542,NA,NA,smac-doc-example,0.9736842105263158,0.11646759543664197,1843077120,1843077120,0,130469888,130469888,0,bytes,0.3355271816253662,0.39081382751464844,0.05528664588928223,wall,seconds,0.3355271816253662,0.39081382751464844
